atan__NEG1dot0ENEG8SEPsp1dot0ENEG8_,  4.8828125e-12, 4.8828125e-12, 20.01, 19.12, 19.64, Failure: Sturm sequence, 2.76, Failure: Sturm sequence, 2.75, Failure: Sturm sequence, 2.75,,
atan__NEG8dot790469077051837SEPsp8dot790469077051837_,  .3567759222088132, .3567759222088132, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
cos__0dot01SEPsp1dot5_,  1.3474926825936847e-3, 1.3474926825936847e-3, 18.37, 18.73, 17.22, Valid error, 9.92, Valid error, 9.88, Valid error, 9.88,,
cos__0dot02SEPsp1dot0_,  3.561423704391948e-4, 3.561423704391948e-4, 16.74, 16.65, 17.07, Valid error, 9.81, Valid error, 9.76, Valid error, 9.76,,
cos__0dot02SEPsp1dot5_,  1.3113156421113213e-3, 1.3113156421113213e-3, 18.22, 17.79, 16.76, Valid error, 10.23, Valid error, 10.19, Valid error, 10.19,,
cos__0dot02SEPsp3dot0_,  4.765401549946544e-3, 4.765401549946544e-3, 17.19, 16.69, 18.01, Valid error, 10.54, Valid error, 10.50, Valid error, 10.50,,
cos__0dot0SEPsp0dot4_,  1.1007588613174355e-5, 1.1007588613174355e-5, 18.04, 17.55, 17.85, Valid error, 9.09, Valid error, 9.07, Valid error, 9.07,,
cos__0dot0SEPsp1dot5_,  1.3845097822231056e-3, 1.3845097822231056e-3, 17.05, 17.92, 17.23, Valid error, 8.59, Valid error, 8.55, Valid error, 8.56,,
cos__0dot0SEPsp2dot0_,  3.070893954493595e-3, 3.070893954493595e-3, 18.23, 18.05, 16.78, Valid error, 9.35, Valid error, 9.33, Valid error, 9.33,,
cos__0dot0SEPsp3dot0_,  5.036110697488561e-3, 5.036110697488561e-3, 16.71, 18.74, 18.71, Valid error, 9.33, Valid error, 9.31, Valid error, 9.30,,
cos__0dot0SEPsp3dot14_,  5.061508240252821e-3, 5.061508240252821e-3, 16.78, 18.64, 18.66, Valid error, 9.69, Valid error, 9.69, Valid error, 9.67,,
cos__0dot0SEPsp6dot28318530718_,  .30645341428458095, .30645341428458095, 23.30, 21.85, 21.78, Invalid zero IV:Bounding error too large, 12.13, Invalid zero IV:Bounding error too large, 12.09, Invalid zero IV:Bounding error too large, 12.10,,
cos__0dot5SEPsp1dot0_,  1.4849779967871203e-5, 1.4849779967871203e-5, 16.69, 17.22, 16.75, Valid error, 9.84, Valid error, 9.85, Valid error, 9.82,,
cos__17dot0SEPsp18dot0_,  7.394368420440065e-5, 7.394368420440065e-5, 16.33, 17.31, 16.50, Invalid zero IV:Bounding error too large, 8.92, Invalid zero IV:Bounding error too large, 8.91, Invalid zero IV:Bounding error too large, 8.90,,
cos__1dot0SEPsp3dot1415_,  3.595487654508228e-3, 3.595487654508228e-3, 17.96, 18.44, 18.36, Valid error, 10.17, Valid error, 10.14, Valid error, 10.15,,
cos__1dot0SEPsp5dot0_,  .06819830496854323, .06819830496854323, 18.29, 18.60, 17.72, Valid error, 9.84, Valid error, 9.81, Valid error, 9.82,,
cos__2dot0SEPsp4dot0_,  5.288824206723667e-3, 5.288824206723667e-3, 16.85, 16.32, 17.41, Valid error, 10.08, Valid error, 10.04, Valid error, 10.03,,
cos__3dot0SEPsp5dot0_,  4.6015292476576574e-3, 4.6015292476576574e-3, 17.15, 16.81, 16.03, Valid error, 10.10, Valid error, 10.10, Valid error, 10.09,,
cos__NEG1dot0SEPsp3dot14_,  .04248304902631474, .04248304902631474, 2121.49, 2142.17, 2134.55, Valid error, 22.64, Valid error, 23.01, Valid error, 22.58,,
cos__NEG1dot1SEPsp0dot9_,  5.107199872076338e-3, 5.107199872076338e-3, 18.30, 18.02, 18.81, Valid error, 10.47, Valid error, 10.46, Valid error, 10.46,,
cos__NEG1dot5707830967865613SEPsp188495dot55921539583_,  1.0000000000000513, 1.0000000000000513, 43.12, 44.86, 43.72, Invalid zero IV:Bounding error too large, 21.78, Invalid zero IV:Bounding error too large, 21.77, Invalid zero IV:Bounding error too large, 21.77,,
