atan__NEG1dot0ENEG8SEPsp1dot0ENEG8_,  4.8828125e-12, 4.8828125e-12, 23.79, 22.47, 23.46, Valid error, 40.72, Valid error, 40.71, Valid error, 40.69,,
atan__NEG8dot790469077051837SEPsp8dot790469077051837_,  .2240775588022979, .2240775588022979, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
cos__0dot01SEPsp1dot5_,  5.328005770480113e-6, 5.328005770480113e-6, 19.03, 18.91, 17.88, Valid error, 258.62, Valid error, 257.84, Valid error, 257.75,,
cos__0dot02SEPsp1dot0_,  5.271661231282353e-7, 5.271661231282353e-7, 18.78, 19.05, 18.07, Valid error, 253.55, Valid error, 253.58, Valid error, 253.47,,
cos__0dot02SEPsp1dot5_,  5.0948159277850985e-6, 5.0948159277850985e-6, 18.81, 19.53, 19.72, Valid error, 254.00, Valid error, 254.02, Valid error, 254.63,,
cos__0dot02SEPsp3dot0_,  6.215311234946758e-5, 6.215311234946758e-5, 20.07, 19.11, 20.34, Valid error, 258.66, Valid error, 258.51, Valid error, 258.02,,
cos__0dot0SEPsp0dot4_,  3.910481432647623e-9, 3.910481432647623e-9, 19.92, 17.62, 18.81, Valid error, 230.39, Valid error, 230.28, Valid error, 230.85,,
cos__0dot0SEPsp1dot5_,  5.570109221999524e-6, 5.570109221999524e-6, 19.64, 18.32, 18.43, Valid error, 226.13, Valid error, 225.98, Valid error, 225.85,,
cos__0dot0SEPsp2dot0_,  2.2934551906112294e-5, 2.2934551906112294e-5, 18.33, 18.49, 19.23, Valid error, 233.71, Valid error, 233.67, Valid error, 233.70,,
cos__0dot0SEPsp3dot0_,  1.2501913971483836e-4, 1.2501913971483836e-4, 17.05, 18.75, 18.15, Valid error, 226.69, Valid error, 226.77, Valid error, 226.65,,
cos__0dot0SEPsp3dot14_,  1.2770898867317935e-4, 1.2770898867317935e-4, 19.74, 20.45, 20.48, Valid error, 228.98, Valid error, 228.85, Valid error, 228.77,,
cos__0dot0SEPsp6dot28318530718_,  .03355492093835871, .03355492093835871, 28.05, 28.97, 28.88, Valid error, 309.32, Valid error, 309.15, Valid error, 309.11,,
cos__0dot5SEPsp1dot0_,  9.516830880040371e-9, 9.516830880040371e-9, 18.25, 17.95, 17.41, Valid error, 269.71, Valid error, 273.00, Valid error, 270.41,,
cos__17dot0SEPsp18dot0_,  17.875957310725997, 17.875957310725997, 19.06, 17.74, 18.85, Invalid zero IV:Bounding error too large, 251.07, Invalid zero IV:Bounding error too large, 250.86, Invalid zero IV:Bounding error too large, 250.46,,
cos__1dot0SEPsp3dot1415_,  3.074619448383866e-5, 3.074619448383866e-5, 21.89, 20.89, 20.95, Valid error, 255.90, Valid error, 255.89, Valid error, 256.47,,
cos__1dot0SEPsp5dot0_,  4.319791238867202e-3, 4.319791238867202e-3, 18.04, 17.75, 17.65, Valid error, 247.74, Valid error, 247.42, Valid error, 247.16,,
cos__2dot0SEPsp4dot0_,  4.1549264087979456e-5, 4.1549264087979456e-5, 17.63, 18.18, 17.38, Valid error, 259.75, Valid error, 259.68, Valid error, 259.69,,
cos__3dot0SEPsp5dot0_,  2.79015268651526e-5, 2.79015268651526e-5, 18.10, 18.55, 18.63, Valid error, 277.20, Valid error, 277.14, Valid error, 277.11,,
cos__NEG1dot0SEPsp3dot14_,  2.3885796630619045e-3, 2.3885796630619045e-3, 5234.64, 5171.91, 5130.54, Valid error, 375.39, Valid error, 375.29, Valid error, 375.34,,
